OrderID,Price,Quantity,ProductID,CustomerID
O1121,752,9,14-07-2019,I19,C165
O1122,740,9,16-07-2019,I19,C196
O1123,605,2,23-07-2019,I19,C78
O1124,656,6,26-07-2019,I19,C177
O1125,374,7,01-08-2019,I19,C140
O1126,776,6,04-08-2019,I19,C134
O1127,672,2,07-08-2019,I19,C114
O1128,655,1,13-08-2019,I19,C50
O1129,773,10,17-08-2019,I19,C97
O1130,699,3,20-08-2019,I19,C14
O1131,765,4,27-08-2019,I19,C126
O1132,748,9,02-09-2019,I19,C57
O1133,744,3,08-09-2019,I19,C186
O1134,655,3,10-09-2019,I19,C86
O1135,639,1,16-09-2019,I19,C162
O1136,719,6,23-09-2019,I19,C179
O1137,648,3,01-10-2019,I19,C197
O1138,672,6,08-10-2019,I19,C12
O1139,695,1,15-10-2019,I19,C96
O1140,793,9,22-10-2019,I19,C63
O1141,705,4,01-11-2019,I19,C197
O1142,779,10,05-11-2019,I19,C145
O1143,715,7,12-11-2019,I19,C55
O1144,716,2,14-11-2019,I19,C184
O1145,812,6,19-11-2019,I19,C146
O1146,722,6,23-11-2019,I19,C126
O1147,260,5,23-11-2019,I19,C30
O1148,850,7,02-12-2019,I19,C164
O1149,736,6,04-12-2019,I19,C120
O1150,835,8,06-12-2019,I19,C134
O1151,704,3,13-12-2019,I19,C9
O1152,736,3,15-12-2019,I19,C45
O1153,726,1,17-12-2019,I19,C161
O1154,340,9,18-12-2019,I19,C112
O1155,775,7,22-12-2019,I19,C152
O1156,792,2,01-01-2020,I19,C115
O1157,803,6,07-01-2020,I19,C109
O1158,852,9,09-01-2020,I19,C106
O1159,751,7,15-01-2020,I19,C76
O1160,695,2,19-01-2020,I19,C61
O1161,301,9,17-01-2020,I19,C35
O1162,767,1,23-01-2020,I19,C100
O1163,748,3,26-01-2020,I19,C40
O1164,806,3,02-02-2020,I19,C144
O1165,210,7,28-01-2020,I19,C134
O1166,877,1,09-02-2020,I19,C139
O1167,802,5,12-02-2020,I19,C117
O1168,701,2,15-02-2020,I19,C15
O1169,871,2,19-02-2020,I19,C28
O1170,770,2,25-02-2020,I19,C137
O1171,716,5,02-03-2020,I19,C171
O1172,813,5,07-03-2020,I19,C70
O1173,870,4,11-03-2020,I19,C46
O1174,708,4,13-03-2020,I19,C197
O1175,834,10,19-03-2020,I19,C113
O1176,738,5,22-03-2020,I19,C129
O1177,806,7,27-03-2020,I19,C128
O1178,290,10,01-01-2017,I106,C113
O1179,292,4,03-01-2017,I106,C87
O1180,294,6,07-01-2017,I51,C8
O1181,298,1,12-01-2017,I51,C103
O1182,304,7,19-01-2017,I106,C41
O1183,307,7,25-01-2017,I51,C36
O1184,313,10,01-02-2017,I106,C176
O1185,313,8,08-02-2017,I51,C5
O1186,320,2,11-02-2017,I106,C144
O1187,323,1,13-02-2017,I51,C2
O1188,324,1,17-02-2017,I51,C38
O1189,322,1,19-02-2017,I51,C107
O1190,322,10,21-02-2017,I106,C99
O1191,323,5,26-02-2017,I106,C178
O1192,331,1,05-03-2017,I51,C62
O1193,331,5,10-03-2017,I106,C181
O1194,341,3,17-03-2017,I51,C99
O1195,341,9,22-03-2017,I106,C132
O1196,346,4,25-03-2017,I106,C21
O1197,355,7,27-03-2017,I106,C179
O1198,359,1,04-04-2017,I106,C10
O1199,351,7,10-04-2017,I51,C170
O1200,352,10,13-04-2017,I106,C109
O1201,363,5,20-04-2017,I51,C105
O1202,370,9,22-04-2017,I106,C8
O1203,381,9,01-05-2017,I51,C149
O1204,378,8,03-05-2017,I106,C104
O1205,374,5,09-05-2017,I106,C95
O1206,386,3,14-05-2017,I106,C107
O1207,396,9,16-05-2017,I51,C117
O1208,403,1,14-05-2017,I106,C136
O1209,387,2,21-05-2017,I51,C55
O1210,390,3,24-05-2017,I51,C127
O1211,388,8,03-06-2017,I51,C67
O1212,388,4,08-06-2017,I51,C124
O1213,402,1,05-06-2017,I106,C17
O1214,403,9,11-06-2017,I106,C173
O1215,394,4,15-06-2017,I51,C132
O1216,414,2,21-06-2017,I106,C12
O1217,411,10,28-06-2017,I51,C152
O1218,428,4,04-07-2017,I51,C79
O1219,410,1,07-07-2017,I51,C18
O1220,424,4,10-07-2017,I106,C164
O1221,442,4,16-07-2017,I106,C195
O1222,431,5,20-07-2017,I51,C35
O1223,436,9,23-07-2017,I106,C152
O1224,429,10,02-08-2017,I51,C40
O1225,442,8,05-08-2017,I106,C108
O1226,427,1,09-08-2017,I106,C68
O1227,430,7,11-08-2017,I51,C71
O1228,440,8,15-08-2017,I51,C195
O1229,441,5,22-08-2017,I51,C56
O1230,470,5,25-08-2017,I106,C200
O1231,434,6,28-08-2017,I51,C137
O1232,440,2,02-09-2017,I51,C120
O1233,460,6,05-09-2017,I51,C192
O1234,468,9,11-09-2017,I106,C12
O1235,480,3,17-09-2017,I106,C40
O1236,493,10,19-09-2017,I106,C29
O1237,450,3,24-09-2017,I106,C92
O1238,494,10,25-09-2017,I106,C45
O1239,499,3,27-09-2017,I106,C43
O1240,456,2,01-10-2017,I106,C136
O1241,471,9,07-10-2017,I51,C52
O1242,470,6,10-10-2017,I106,C22
O1243,514,9,16-10-2017,I106,C23
O1244,512,10,19-10-2017,I51,C24
O1245,502,1,26-10-2017,I51,C62
O1246,497,5,27-10-2017,I106,C127
O1247,524,6,05-11-2017,I106,C68
O1248,485,10,05-11-2017,I51,C76
O1249,516,1,12-11-2017,I51,C88
O1250,492,4,14-11-2017,I106,C170
O1251,495,1,21-11-2017,I106,C188
O1252,492,7,26-11-2017,I106,C160
O1253,525,4,28-11-2017,I106,C137
O1254,503,7,05-12-2017,I51,C195
O1255,525,9,11-12-2017,I51,C161
O1256,500,2,18-12-2017,I51,C198
O1257,537,8,24-12-2017,I106,C63
O1258,534,6,02-01-2018,I51,C88
O1259,539,1,06-01-2018,I106,C184
O1260,551,4,08-01-2018,I51,C175
O1261,584,1,11-01-2018,I51,C124
O1262,548,10,15-01-2018,I51,C155
O1263,539,8,21-01-2018,I51,C189
O1264,528,4,26-01-2018,I106,C29
O1265,595,1,02-02-2018,I106,C94
O1266,528,10,07-02-2018,I106,C164
O1267,581,3,09-02-2018,I51,C13
O1268,553,5,14-02-2018,I106,C121
O1269,582,9,17-02-2018,I106,C22
O1270,578,7,20-02-2018,I51,C136
O1271,579,7,23-02-2018,I106,C55
O1272,555,7,27-02-2018,I51,C172
O1273,552,1,02-03-2018,I51,C145
O1274,601,7,07-03-2018,I106,C142
O1275,564,1,09-03-2018,I106,C141
O1276,578,5,15-03-2018,I51,C154
O1277,592,4,20-03-2018,I106,C93
O1278,592,6,24-03-2018,I106,C74
O1279,602,6,02-04-2018,I51,C152
O1280,563,9,04-04-2018,I51,C87
O1281,580,4,09-04-2018,I51,C25
O1282,616,9,11-04-2018,I51,C75
O1283,568,5,15-04-2018,I106,C139
O1284,601,5,22-04-2018,I51,C85
O1285,590,8,26-04-2018,I106,C174
O1286,614,1,28-04-2018,I106,C29
O1287,580,6,03-05-2018,I51,C24
O1288,633,8,05-05-2018,I51,C4
O1289,648,7,07-05-2018,I106,C135
O1290,595,8,10-05-2018,I51,C52
O1291,646,2,11-05-2018,I106,C35
O1292,658,3,15-05-2018,I51,C48
O1293,597,5,18-05-2018,I106,C24
O1294,630,10,25-05-2018,I106,C124
O1295,623,7,03-06-2018,I106,C169
O1296,671,7,07-06-2018,I51,C74
O1297,642,6,12-06-2018,I51,C165
O1298,703,9,18-06-2018,I51,C19
O1299,676,5,23-06-2018,I106,C103
O1300,642,7,25-06-2018,I106,C50
O1301,619,2,04-07-2018,I51,C111
O1302,670,1,01-07-2018,I106,C53
O1303,645,3,07-07-2018,I106,C102
O1304,701,9,12-07-2018,I51,C116
O1305,703,3,15-07-2018,I51,C4
O1306,687,3,19-07-2018,I51,C93
O1307,642,8,23-07-2018,I106,C150
O1308,732,10,02-08-2018,I51,C6
O1309,716,10,05-08-2018,I51,C151
O1310,684,6,10-08-2018,I106,C195
O1311,694,2,16-08-2018,I51,C66
O1312,661,8,14-08-2018,I51,C59
O1313,658,5,19-08-2018,I106,C180
O1314,689,9,23-08-2018,I106,C54
O1315,670,7,27-08-2018,I106,C119
O1316,662,4,06-09-2018,I106,C60
O1317,655,5,12-09-2018,I51,C175
O1318,697,7,17-09-2018,I106,C85
O1319,756,10,21-09-2018,I106,C112
O1320,760,5,25-09-2018,I51,C94
O1321,775,3,27-09-2018,I106,C110
O1322,751,5,06-10-2018,I106,C134
O1323,781,1,11-10-2018,I51,C190
O1324,734,9,15-10-2018,I51,C29
O1325,732,8,21-10-2018,I106,C120
O1326,692,3,25-10-2018,I106,C20
O1327,708,7,03-11-2018,I106,C121
O1328,766,4,09-11-2018,I106,C70
O1329,818,6,13-11-2018,I51,C5
O1330,803,3,15-11-2018,I51,C168
O1331,751,2,22-11-2018,I51,C56
O1332,747,3,27-11-2018,I106,C133
O1333,759,2,01-12-2018,I106,C16
O1334,821,3,04-12-2018,I106,C170
O1335,762,4,07-12-2018,I106,C71
O1336,742,9,12-12-2018,I106,C180
O1337,783,9,19-12-2018,I51,C79
O1338,748,8,23-12-2018,I51,C180
O1339,815,1,21-12-2018,I106,C27
O1340,728,1,28-12-2018,I51,C22
O1341,772,9,06-01-2019,I51,C70
O1342,751,1,12-01-2019,I51,C118
O1343,807,1,17-01-2019,I106,C22
O1344,801,6,19-01-2019,I106,C44
O1345,865,1,24-01-2019,I106,C21
O1346,790,4,02-02-2019,I51,C13
O1347,817,9,07-02-2019,I106,C131
O1348,831,3,13-02-2019,I106,C139
O1349,772,5,15-02-2019,I106,C111
O1350,853,4,23-02-2019,I51,C127
O1351,780,5,01-03-2019,I106,C45
O1352,806,2,06-03-2019,I106,C61
O1353,838,3,08-03-2019,I51,C93
O1354,824,5,15-03-2019,I106,C151
O1355,814,3,17-03-2019,I51,C66
O1356,889,4,21-03-2019,I51,C8
O1357,901,2,28-03-2019,I106,C145
O1358,873,6,02-04-2019,I106,C70
O1359,812,9,05-04-2019,I106,C61
O1360,786,3,10-04-2019,I106,C125
O1361,862,2,15-04-2019,I106,C154
O1362,881,9,19-04-2019,I51,C24
O1363,862,5,21-04-2019,I51,C111
O1364,867,9,01-05-2019,I51,C36
O1365,925,5,08-05-2019,I106,C75
O1366,846,5,13-05-2019,I51,C104
O1367,846,4,19-05-2019,I51,C106
O1368,935,1,23-05-2019,I51,C143
O1369,949,4,25-05-2019,I51,C178
O1370,834,1,04-06-2019,I51,C180
O1371,818,1,10-06-2019,I51,C5
O1372,867,10,13-06-2019,I106,C55
O1373,839,10,14-06-2019,I51,C188
O1374,956,10,22-06-2019,I51,C28
O1375,920,9,27-06-2019,I51,C28
O1376,905,3,03-07-2019,I106,C57
O1377,962,1,09-07-2019,I106,C123
O1378,854,5,14-07-2019,I106,C125
O1379,925,6,21-07-2019,I106,C154
O1380,952,8,23-07-2019,I51,C120
O1381,880,2,27-07-2019,I106,C70
O1382,919,1,04-08-2019,I51,C131
O1383,966,5,08-08-2019,I106,C189
O1384,1063,3,09-08-2019,I51,C101
O1385,972,3,15-08-2019,I51,C173
O1386,990,1,19-08-2019,I51,C24
O1387,943,1,26-08-2019,I106,C14
O1388,939,7,03-09-2019,I106,C154
O1389,956,4,09-09-2019,I106,C189
O1390,921,6,12-09-2019,I51,C28
O1391,891,8,19-09-2019,I51,C195
O1392,1035,9,22-09-2019,I106,C186
O1393,910,4,26-09-2019,I51,C23
O1394,905,2,28-09-2019,I51,C48
O1395,970,9,03-10-2019,I51,C133
O1396,1074,6,10-10-2019,I106,C101
O1397,1042,6,12-10-2019,I106,C14
O1398,961,1,19-10-2019,I106,C100
O1399,978,10,24-10-2019,I51,C35
O1400,1076,10,25-10-2019,I106,C150
O1401,978,8,03-11-2019,I51,C192
O1402,1027,9,07-11-2019,I51,C79
O1403,1055,5,11-11-2019,I106,C14
O1404,975,5,13-11-2019,I106,C178
O1405,1022,2,15-11-2019,I106,C162
O1406,1004,4,21-11-2019,I106,C151
O1407,1126,1,24-11-2019,I106,C193
O1408,1009,3,01-12-2019,I106,C20
O1409,1105,9,03-12-2019,I106,C71
O1410,1060,7,07-12-2019,I51,C159
O1411,980,7,14-12-2019,I51,C16
O1412,1094,5,19-12-2019,I51,C195
O1413,954,5,24-12-2019,I106,C28
O1414,1032,5,01-01-2020,I106,C19
O1415,1084,2,06-01-2020,I51,C95
O1416,948,7,10-01-2020,I106,C97
O1417,1005,1,15-01-2020,I106,C55
O1418,1018,4,18-01-2020,I51,C57
O1419,970,1,25-01-2020,I106,C48
O1420,1056,5,28-01-2020,I106,C22
O1421,1073,3,09-02-2020,I51,C51
O1422,1006,2,16-02-2020,I106,C22
O1423,1071,6,22-02-2020,I51,C52
O1424,992,9,28-02-2020,I106,C14
O1425,1060,7,03-03-2020,I51,C173
O1426,1126,7,09-03-2020,I106,C83
O1427,1140,8,15-03-2020,I106,C27
O1428,1027,1,21-03-2020,I106,C118
O1429,1111,2,28-03-2020,I51,C4
O1430,257,9,01-01-2017,I133,C26
O1431,261,7,04-01-2017,I133,C121
O1432,268,6,11-01-2017,I133,C62
O1433,271,2,14-01-2017,I133,C156
O1434,275,4,17-01-2017,I133,C140
O1435,271,2,16-01-2017,I133,C102
O1436,277,3,23-01-2017,I133,C187
O1437,272,10,27-01-2017,I133,C70
O1438,292,7,07-02-2017,I133,C119
O1439,285,5,08-02-2017,I133,C69
O1440,304,4,16-02-2017,I133,C14
O1441,309,8,20-02-2017,I133,C199
O1442,311,1,26-02-2017,I133,C138
O1443,314,8,03-03-2017,I133,C69
O1444,313,6,05-03-2017,I133,C120
O1445,322,1,11-03-2017,I133,C110
O1446,328,10,18-03-2017,I133,C112
O1447,335,4,23-03-2017,I133,C117
O1448,343,7,28-03-2017,I133,C8
O1449,337,6,05-04-2017,I133,C11
O1450,344,7,10-04-2017,I133,C16
O1451,357,6,13-04-2017,I133,C116
O1452,368,5,19-04-2017,I133,C51
O1453,361,3,24-04-2017,I133,C138
O1454,377,6,03-05-2017,I133,C7
O1455,339,7,03-05-2017,I133,C66
O1456,392,1,13-05-2017,I133,C62
O1457,393,2,20-05-2017,I133,C70
O1458,404,1,24-05-2017,I133,C39
O1459,395,6,26-05-2017,I133,C13
O1460,412,2,03-06-2017,I133,C90
O1461,409,2,07-06-2017,I133,C97
O1462,419,2,11-06-2017,I133,C134
O1463,420,2,13-06-2017,I133,C24
O1464,346,6,17-06-2017,I133,C29
O1465,422,1,24-06-2017,I133,C82
O1466,442,5,01-07-2017,I133,C148
O1467,435,5,06-07-2017,I133,C137
O1468,363,2,11-07-2017,I133,C130
O1469,451,10,16-07-2017,I133,C149
O1470,461,1,19-07-2017,I133,C100
O1471,463,6,26-07-2017,I133,C104
O1472,459,8,05-08-2017,I133,C145
O1473,482,7,08-08-2017,I133,C30
O1474,392,2,10-08-2017,I133,C160
O1475,466,10,15-08-2017,I133,C52
O1476,486,1,21-08-2017,I133,C30
O1477,474,7,25-08-2017,I133,C196
O1478,473,9,02-09-2017,I133,C131
O1479,505,6,08-09-2017,I133,C191
O1480,507,4,14-09-2017,I133,C14
O1481,483,6,17-09-2017,I133,C69
O1482,494,6,19-09-2017,I133,C195
O1483,446,3,22-09-2017,I133,C177
O1484,517,10,28-09-2017,I133,C67
O1485,490,5,04-10-2017,I133,C164
O1486,539,10,10-10-2017,I133,C143
O1487,500,1,13-10-2017,I133,C41
O1488,555,7,20-10-2017,I133,C24
O1489,532,5,22-10-2017,I133,C54
O1490,523,4,26-10-2017,I133,C198
O1491,516,5,05-11-2017,I133,C92
O1492,563,1,07-11-2017,I133,C110
O1493,552,8,09-11-2017,I133,C168
O1494,537,8,11-11-2017,I133,C60
O1495,551,6,15-11-2017,I133,C33
O1496,525,2,17-11-2017,I133,C23
O1497,543,6,24-11-2017,I133,C185
O1498,416,9,25-11-2017,I133,C142
O1499,562,1,05-12-2017,I133,C128
O1500,578,10,11-12-2017,I133,C175
O1501,557,5,18-12-2017,I133,C113
O1502,612,10,23-12-2017,I133,C108
O1503,560,2,27-12-2017,I133,C161
O1504,498,5,01-01-2018,I133,C37
O1505,567,6,07-01-2018,I133,C182
O1506,606,9,11-01-2018,I133,C116
O1507,451,8,10-01-2018,I133,C138
O1508,624,4,16-01-2018,I133,C71
O1509,588,2,22-01-2018,I133,C87
O1510,657,10,28-01-2018,I133,C19
O1511,589,3,02-02-2018,I133,C11
O1512,659,10,04-02-2018,I133,C92
O1513,667,8,10-02-2018,I133,C148
O1514,624,3,15-02-2018,I133,C54
O1515,648,1,17-02-2018,I133,C53
O1516,625,5,21-02-2018,I133,C184
O1517,672,5,27-02-2018,I133,C45
O1518,680,9,02-03-2018,I133,C51
O1519,639,6,06-03-2018,I133,C58
O1520,630,3,12-03-2018,I133,C150
O1521,667,2,16-03-2018,I133,C175
O1522,640,10,23-03-2018,I133,C199
O1523,709,10,27-03-2018,I133,C157
O1524,673,6,02-04-2018,I133,C18
O1525,666,1,04-04-2018,I133,C142
O1526,707,4,11-04-2018,I133,C143
O1527,650,4,14-04-2018,I133,C157
O1528,688,7,19-04-2018,I133,C195
O1529,690,1,26-04-2018,I133,C90
O1530,706,7,04-05-2018,I133,C17
O1531,703,10,09-05-2018,I133,C119
O1532,742,9,15-05-2018,I133,C14
O1533,702,1,20-05-2018,I133,C177
O1534,589,5,17-05-2018,I133,C183
O1535,719,2,26-05-2018,I133,C137
O1536,527,5,28-05-2018,I133,C120
O1537,782,2,06-06-2018,I133,C34
O1538,727,6,12-06-2018,I133,C87
O1539,752,7,15-06-2018,I133,C45
O1540,753,2,17-06-2018,I133,C45
O1541,797,6,23-06-2018,I133,C36
O1542,777,8,25-06-2018,I133,C150
O1543,761,9,02-07-2018,I133,C187
O1544,759,7,04-07-2018,I133,C93
O1545,629,5,03-07-2018,I133,C48
O1546,785,8,11-07-2018,I133,C31
O1547,766,3,13-07-2018,I133,C11
O1548,755,7,18-07-2018,I133,C91
O1549,765,9,20-07-2018,I133,C63
O1550,580,10,22-07-2018,I133,C195
O1551,842,3,01-08-2018,I133,C123
O1552,843,8,03-08-2018,I133,C49
O1553,583,1,04-08-2018,I133,C117
O1554,829,5,11-08-2018,I133,C122
O1555,762,3,16-08-2018,I133,C55
O1556,773,9,21-08-2018,I133,C111
O1557,796,3,24-08-2018,I133,C46
O1558,824,1,26-08-2018,I133,C156
O1559,815,9,04-09-2018,I133,C145
O1560,830,10,06-09-2018,I133,C140
O1561,823,6,11-09-2018,I133,C200
O1562,832,5,16-09-2018,I133,C59
O1563,638,10,16-09-2018,I133,C180
O1564,851,3,23-09-2018,I133,C11
O1565,889,4,26-09-2018,I133,C84
O1566,899,1,01-10-2018,I133,C36
O1567,876,2,05-10-2018,I133,C68
O1568,807,4,11-10-2018,I133,C152
O1569,839,6,15-10-2018,I133,C196
O1570,899,10,17-10-2018,I133,C54
O1571,648,4,19-10-2018,I133,C13
O1572,919,5,24-10-2018,I133,C109
O1573,913,6,28-10-2018,I133,C134
O1574,920,4,06-11-2018,I133,C104
O1575,909,10,13-11-2018,I133,C74
O1576,837,6,19-11-2018,I133,C123
O1577,918,3,23-11-2018,I133,C176
O1578,843,8,28-11-2018,I133,C42
O1579,947,3,03-12-2018,I133,C94
O1580,647,4,01-12-2018,I133,C71
O1581,880,10,08-12-2018,I133,C62
O1582,878,2,13-12-2018,I133,C199
O1583,733,10,14-12-2018,I133,C61
O1584,940,2,19-12-2018,I133,C191
O1585,961,9,22-12-2018,I133,C94
O1586,871,2,24-12-2018,I133,C17
O1587,865,6,28-12-2018,I133,C138
O1588,998,7,03-01-2019,I133,C104
O1589,975,4,07-01-2019,I133,C50
O1590,994,10,12-01-2019,I133,C54
O1591,960,5,15-01-2019,I133,C165
O1592,932,7,17-01-2019,I133,C45
O1593,892,10,24-01-2019,I133,C152
O1594,950,9,26-01-2019,I133,C183
O1595,1011,10,04-02-2019,I133,C108
O1596,899,10,07-02-2019,I133,C87
O1597,972,2,09-02-2019,I133,C136
O1598,1036,10,11-02-2019,I133,C162
O1599,959,3,16-02-2019,I133,C130
O1600,922,10,23-02-2019,I133,C197
O1601,951,2,25-02-2019,I133,C12
O1602,983,5,28-02-2019,I133,C89
O1603,939,10,03-03-2019,I133,C78
O1604,939,10,09-03-2019,I133,C181
O1605,676,10,08-03-2019,I133,C133
O1606,1050,10,17-03-2019,I133,C46
O1607,937,8,24-03-2019,I133,C187
O1608,1040,4,27-03-2019,I133,C16
O1609,1093,7,02-04-2019,I133,C125
O1610,743,3,28-03-2019,I133,C116
O1611,974,5,08-04-2019,I133,C124
O1612,1061,9,12-04-2019,I133,C171
O1613,996,10,18-04-2019,I133,C52
O1614,1056,8,23-04-2019,I133,C183
O1615,1010,1,26-04-2019,I133,C60
O1616,1089,7,03-05-2019,I133,C37
O1617,984,9,10-05-2019,I133,C147
O1618,740,1,11-05-2019,I133,C132
O1619,1126,8,19-05-2019,I133,C62
O1620,1007,5,21-05-2019,I133,C24
O1621,1141,4,24-05-2019,I133,C102
O1622,1005,5,02-06-2019,I133,C176
O1623,1030,7,05-06-2019,I133,C100
O1624,1158,3,11-06-2019,I133,C171
O1625,1086,5,15-06-2019,I133,C51
O1626,1047,3,17-06-2019,I133,C41
O1627,1050,2,19-06-2019,I133,C63
O1628,1055,10,26-06-2019,I133,C121
O1629,1060,1,01-07-2019,I133,C51
O1630,1027,5,04-07-2019,I133,C17
O1631,736,5,09-07-2019,I133,C72
O1632,1138,1,13-07-2019,I133,C167
O1633,1080,1,15-07-2019,I133,C18
O1634,1200,6,22-07-2019,I133,C118
O1635,1135,8,25-07-2019,I133,C34
O1636,1156,3,27-07-2019,I133,C13
O1637,732,5,25-07-2019,I133,C133
O1638,1058,10,03-08-2019,I133,C145
O1639,1179,2,06-08-2019,I133,C129
O1640,1181,10,11-08-2019,I133,C136
O1641,1223,4,13-08-2019,I133,C20
O1642,1107,1,17-08-2019,I133,C165
O1643,1183,10,20-08-2019,I133,C197
O1644,787,7,20-08-2019,I133,C115
O1645,1236,5,27-08-2019,I133,C136
O1646,818,10,27-08-2019,I133,C19
O1647,1091,4,08-09-2019,I133,C147
O1648,1238,9,10-09-2019,I133,C95
O1649,925,4,11-09-2019,I133,C91
O1650,1214,1,17-09-2019,I133,C194
O1651,1159,10,20-09-2019,I133,C126
O1652,1086,8,22-09-2019,I133,C44
O1653,1167,6,25-09-2019,I133,C112
O1654,1099,9,04-10-2019,I133,C42
O1655,1220,1,09-10-2019,I133,C2
O1656,1198,9,11-10-2019,I133,C78
O1657,1287,7,15-10-2019,I133,C144
O1658,1232,9,19-10-2019,I133,C80
O1659,1198,9,24-10-2019,I133,C84
