Product_ReviewID,ProductID,Review,CustomerID,Rating
V1114,I41,Numquam aperiam maxime recusandae qui facere.,C60,4.94
V1115,I54,Repudiandae ducimus aliquid debitis.,C60,3.28
V1116,I65,Repellat placeat repellendus odio laudantium tempora.,C60,2.45
V1117,I21,Eveniet dolorum reprehenderit omnis.,C60,2.24
V1118,I33,Modi cum consequatur vero molestiae eveniet.,C60,4.41
V1119,I69,Molestiae veritatis itaque veritatis corporis nobis ad.,C60,1.80
V112,I38,Commodi magni suscipit deleniti ab architecto et inventore.,C1,2.04
V1120,I32,Commodi amet architecto vitae quas cum numquam.,C60,3.97
V1121,I49,Deserunt consequatur adipisci repellendus labore esse.,C60,1.09
V1122,I22,Qui provident exercitationem consectetur.,C60,4.90
V1123,I52,Qui veniam doloribus.,C60,2.66
V1124,I30,Quaerat illo delectus.,C60,3.31
V1125,I36,Assumenda quae similique perferendis dicta.,C61,3.52
V1126,I63,Veritatis quia exercitationem odio sint placeat aliquid.,C61,2.19
V1127,I68,Aspernatur voluptate maxime asperiores dolores.,C61,4.01
V1128,I57,At dicta minima illum totam explicabo.,C61,4.63
V1129,I36,Facilis alias ullam laudantium.,C61,4.88
V113,I47,Doloribus tempora aliquid cum dolor voluptates ipsa laudantium.,C1,1.09
V1130,I48,Exercitationem pariatur nobis sit quia.,C61,3.36
V1131,I39,Similique et nesciunt voluptatum odio consequuntur nulla.,C61,2.47
V1132,I23,Dolorum earum vero totam ipsum aut neque dolorem.,C61,2.84
V1133,I23,Accusantium eos atque.,C61,4.24
V1134,I55,Voluptates voluptatibus eius nostrum laudantium.,C61,2.31
V1135,I50,Optio possimus animi asperiores nam eligendi.,C61,1.78
V1136,I37,Ipsa officiis dolore sapiente.,C61,1.64
V1137,I68,Amet dicta nesciunt alias praesentium.,C62,3.12
V1138,I43,Optio adipisci quod a maxime cumque.,C62,1.11
V1139,I52,Dignissimos dicta veniam tempora in.,C62,1.72
V114,I65,Necessitatibus impedit facere repellat adipisci.,C1,4.26
V1140,I31,Maiores dicta consequatur.,C62,2.81
V1141,I64,Nemo necessitatibus occaecati officia expedita.,C62,3.11
V1142,I47,Adipisci dolor eum eaque perspiciatis.,C62,2.90
V1143,I40,Veniam est quaerat molestiae quae odio a.,C62,3.24
V1144,I47,Dignissimos necessitatibus soluta sit occaecati saepe.,C62,1.50
V1145,I55,Repellendus eaque in magni.,C62,2.10
V1146,I54,Vero harum provident dolorem fugiat voluptate amet dicta.,C62,3.74
V1147,I39,Quisquam corrupti similique voluptatem quia quibusdam eveniet.,C62,2.17
V1148,I25,Impedit aperiam iure blanditiis adipisci.,C62,3.47
V1149,I45,Exercitationem enim et nulla.,C62,1.01
V115,I21,Earum culpa aut ducimus corporis pariatur repudiandae.,C1,2.23
V1150,I65,Consequatur quasi quae optio id perferendis.,C62,1.02
V1151,I59,Voluptates numquam eveniet enim aliquam.,C62,1.50
V1152,I44,Nam porro expedita velit.,C63,1.43
V1153,I20,Deleniti libero suscipit voluptatibus temporibus vero labore.,C63,1.97
V1154,I45,In nisi itaque et dicta ipsa.,C63,3.86
V1155,I52,Sit provident eius aut cum provident enim.,C63,4.18
V1156,I55,Error ipsa soluta qui error atque ea.,C63,2.72
V1157,I50,Facilis doloribus omnis.,C63,2.40
V1158,I65,Ducimus autem architecto maxime possimus molestiae corrupti.,C63,1.62
V1159,I40,Dignissimos repellendus facilis accusantium porro.,C63,4.99
V116,I60,Doloremque autem amet quam quaerat ab libero.,C1,2.72
V1160,I35,Rem culpa qui cupiditate.,C63,4.41
V1161,I68,Minus ut distinctio asperiores ea explicabo deleniti.,C63,5.00
V1162,I54,Eaque aperiam consectetur incidunt delectus explicabo vitae.,C63,3.77
V1163,I50,Deleniti qui nesciunt quia reiciendis sed laudantium non.,C63,1.05
V1164,I39,Enim totam placeat beatae ipsum iure.,C63,1.17
V1165,I53,Illo modi praesentium reiciendis iusto in facilis.,C63,1.67
V1166,I68,Quibusdam unde temporibus aperiam dicta consequatur.,C63,1.21
V1167,I46,Natus amet libero asperiores natus perspiciatis laboriosam.,C63,2.90
V1168,I24,Assumenda molestias voluptates magni repellat optio dolor dolor.,C63,3.41
V1169,I29,Magni dolorum eius quisquam ea atque beatae distinctio.,C63,1.36
V117,I43,Cupiditate tempora dolore voluptas officia minus.,C1,2.85
V1170,I34,Sit fugit sapiente aliquam optio.,C63,3.23
V1171,I49,Iure neque voluptate fuga iste porro.,C63,1.20
V1172,I43,Pariatur ex asperiores voluptate veniam dolorum excepturi.,C63,2.24
V1173,I68,Blanditiis numquam nulla occaecati maxime quas voluptas nulla.,C64,2.62
V1174,I24,Necessitatibus voluptatum odio animi rerum.,C64,2.32
V1175,I60,Maiores hic quae iure aut corporis rem.,C64,2.14
V1176,I28,Id hic eius similique ullam.,C64,1.01
V1177,I65,Sed nisi ex.,C64,1.45
V1178,I63,Ad cupiditate quod iusto.,C64,3.74
V1179,I43,Numquam quos sint eius debitis laboriosam.,C64,3.29
V118,I31,Eos ut aspernatur dolor reiciendis minus necessitatibus.,C1,2.72
V1180,I65,Praesentium mollitia doloremque nesciunt.,C64,2.67
V1181,I39,Molestiae accusantium tempore sapiente.,C64,4.55
V1182,I35,Magni maxime esse tempora aut accusamus laborum sequi.,C64,2.20
V1183,I70,Atque atque magni maxime sed.,C65,4.95
V1184,I64,Soluta pariatur aut officiis.,C65,2.59
V1185,I68,Facilis nostrum libero.,C65,1.86
V1186,I61,Ad deserunt pariatur eum.,C65,3.37
V1187,I28,Quaerat accusamus eveniet ab facere minima temporibus.,C65,3.22
V1188,I63,Eius ab impedit natus accusantium.,C65,2.11
V1189,I52,Ipsa veniam nobis modi illum consequuntur.,C65,1.56
V119,I44,Tempora beatae ullam quasi labore nesciunt.,C1,1.35
V1190,I54,Iste aperiam quae sit fuga.,C65,3.73
V1191,I53,Dolor ut aliquid adipisci rem cumque.,C65,3.04
V1192,I50,Eum exercitationem eos commodi accusamus labore.,C65,2.93
V1193,I29,Occaecati voluptatum dolore tempore illo ratione.,C65,4.65
V1194,I32,Doloremque minima reprehenderit vero maxime animi voluptas sit.,C66,1.46
V1195,I28,Reiciendis vel inventore explicabo excepturi exercitationem.,C66,4.40
V1196,I44,Tenetur facere eligendi rem dolorem.,C66,3.86
V1197,I51,Expedita alias corrupti ipsa inventore recusandae debitis.,C66,1.05
V1198,I27,Eum culpa tenetur vero nisi blanditiis.,C66,2.30
V1199,I52,Veritatis culpa maxime dignissimos debitis cupiditate.,C66,4.27
V12,I182,Voluptates consequuntur ipsa laboriosam.,C30,4.00
V120,I26,Nulla expedita magni accusamus.,C1,4.15
V1200,I42,Corrupti animi harum ipsa eos a explicabo.,C66,4.13
V1201,I49,Natus non nam perferendis dolor deleniti maxime quae.,C66,2.78
V1202,I22,Iste placeat a ducimus.,C66,1.65
V1203,I20,Fugiat veniam aliquid cum tenetur ab necessitatibus.,C66,2.04
V1204,I68,Enim facere enim laudantium enim voluptatem.,C66,4.51
V1205,I46,Animi odio voluptatibus modi.,C66,1.12
V1206,I31,Rem cumque corporis voluptatum perspiciatis ab veniam asperiores.,C66,4.94
V1207,I61,Ipsam dolorum mollitia autem officia aperiam sapiente atque.,C66,2.25
V1208,I52,Repellat sint qui magnam sequi maiores.,C66,4.57
V1209,I69,Fuga aliquam animi nemo eligendi.,C66,1.63
V121,I66,Est cumque expedita omnis.,C2,4.89
V1210,I34,Ex esse expedita ipsa amet.,C66,3.25
V1211,I65,Quo illo aut perferendis dolorem.,C66,4.91
V1212,I26,Eligendi ab maxime dolorem voluptates voluptates sed eius.,C66,2.76
V1213,I59,Eum deserunt fuga.,C66,1.73
V1214,I20,Officiis voluptatem a architecto.,C66,3.36
V1215,I22,Dignissimos consequatur labore nam magnam.,C66,1.71
V1216,I65,Amet quae repellendus corrupti ipsum.,C66,3.68
V1217,I66,Aliquid eos consequatur asperiores dolor.,C67,2.94
V1218,I37,Iusto at necessitatibus fuga corrupti incidunt asperiores.,C67,4.73
V1219,I46,Dolores voluptatibus nostrum perferendis.,C67,3.59
V122,I48,Recusandae facilis nam recusandae esse.,C2,3.60
V1220,I37,Totam recusandae labore atque laborum totam.,C67,2.38
V1221,I35,Nostrum eaque earum consectetur necessitatibus.,C67,3.63
V1222,I28,Culpa odit ad delectus unde reprehenderit.,C67,4.84
V1223,I32,Repudiandae sit inventore voluptatem autem ad magnam.,C67,1.15
V1224,I28,Corrupti unde laudantium corrupti non et veritatis.,C67,1.21
V1225,I70,Tenetur vel soluta modi cumque.,C67,1.81
V1226,I25,Dolorem consequatur cupiditate saepe labore asperiores ab ex.,C67,1.33
V1227,I53,Harum cupiditate expedita aliquid architecto ea eius.,C67,1.14
V1228,I70,Rerum assumenda quia dolor praesentium.,C67,4.93
V1229,I60,Dolorum ullam quas sequi similique.,C67,2.58
V123,I36,Corporis accusantium placeat tempore.,C2,3.29
V1230,I64,Necessitatibus magni corporis unde.,C67,4.89
V1231,I57,Ullam eveniet inventore.,C67,2.03
V1232,I53,Cum possimus quaerat similique a pariatur consequatur.,C67,2.14
V1233,I25,Blanditiis dicta minima totam facere earum dignissimos.,C67,3.63
V1234,I58,Enim soluta libero doloremque consectetur nisi vitae.,C67,2.48
V1235,I41,Cupiditate assumenda ad vitae eius earum.,C67,3.50
V1236,I41,Ab aliquam voluptatum nesciunt.,C67,2.01
V1237,I40,Iusto tempore nesciunt cum corporis.,C67,1.91
V1238,I31,Occaecati iste modi dolores omnis cupiditate repellat.,C67,4.00
V1239,I33,Tempora excepturi nostrum veritatis doloremque repudiandae rerum.,C67,4.31
V124,I36,Animi eius voluptates.,C2,1.37
V1240,I53,Dolores corrupti officia qui quisquam ex alias.,C67,4.06
V1241,I64,Ad deserunt ipsum dolore.,C67,1.30
V1242,I66,Dolorum eaque earum magni enim natus explicabo.,C68,1.20
V1243,I65,Temporibus animi non voluptatem occaecati molestias nisi.,C68,1.70
V1244,I69,Unde at debitis libero nemo modi.,C68,3.22
V1245,I55,Quaerat ad hic debitis voluptas.,C68,4.99
V1246,I55,Aliquid molestias dolorem distinctio animi nesciunt laboriosam error.,C68,3.29
V1247,I66,Ea nemo quas recusandae laboriosam aut odio.,C68,1.24
V1248,I67,Dicta explicabo labore pariatur laboriosam similique veritatis.,C68,2.70
V1249,I41,Temporibus molestias voluptates quibusdam iure architecto consequuntur.,C68,4.29
V125,I42,Distinctio dolorem deleniti facere sint quo.,C2,3.27
V1250,I39,Facere rerum temporibus eligendi maxime quaerat saepe.,C68,4.23
V1251,I47,Ab aspernatur itaque autem fugiat fugiat.,C68,1.50
V1252,I63,Adipisci delectus officia praesentium magnam optio.,C68,3.21
V1253,I24,Similique cumque laborum expedita minus modi.,C68,3.50
V1254,I32,Quae aperiam aliquam tenetur quo doloremque.,C68,1.93
V1255,I53,Vel consectetur accusantium minima voluptate.,C68,4.30
V1256,I45,Sed voluptatum quae veniam odit nobis illo.,C68,4.80
V1257,I38,Facere perferendis dolorum impedit eaque.,C68,4.56
V1258,I23,Repellat nisi vel necessitatibus.,C68,2.03
V1259,I29,Reiciendis minima eveniet modi itaque voluptatum iste.,C68,4.68
V126,I44,Aliquam consectetur quos molestiae sapiente possimus dolores.,C2,3.92
V1260,I56,Ab placeat asperiores vero eveniet.,C68,4.69
V1261,I68,Voluptatem odit odio error.,C68,3.32
V1262,I54,Eveniet consequatur possimus velit earum unde.,C68,2.32
V1263,I59,Debitis reiciendis quo.,C68,3.31
V1264,I26,Voluptatem veritatis voluptates repudiandae quibusdam magnam quisquam.,C69,3.90
V1265,I36,Animi esse suscipit.,C69,4.42
V1266,I57,Inventore labore quibusdam temporibus.,C69,2.88
V1267,I70,Aspernatur soluta saepe nulla praesentium occaecati libero.,C69,4.15
V1268,I65,Aut odit recusandae expedita quidem omnis nam.,C69,4.96
V1269,I26,Incidunt illo numquam animi in saepe.,C69,3.02
V127,I35,Facere expedita in magnam ipsam laudantium.,C2,2.10
V1270,I28,Quod harum porro saepe cupiditate.,C69,4.92
V1271,I50,Magnam labore officiis.,C69,3.09
V1272,I53,Quis officiis necessitatibus labore.,C69,2.42
V1273,I61,Architecto soluta cupiditate accusamus.,C69,4.99
V1274,I42,Aspernatur necessitatibus quibusdam soluta praesentium mollitia molestiae.,C69,4.55
V1275,I63,Ducimus quam facere corporis enim dolorem.,C69,3.51
V1276,I48,Tenetur rerum omnis dolorem.,C69,2.53
V1277,I57,Velit necessitatibus facere voluptate nisi.,C69,1.39
V1278,I21,Maiores reiciendis debitis qui.,C69,3.74
V1279,I24,Dolores excepturi voluptates magnam perferendis.,C69,4.96
V128,I54,Quod blanditiis aperiam placeat facilis perspiciatis.,C2,3.95
V1280,I36,Animi delectus laboriosam repudiandae magnam.,C69,2.07
V1281,I23,Quo amet animi voluptates.,C69,3.70
V1282,I33,Nulla doloribus nisi quos.,C69,3.79
V1283,I29,Eligendi quia velit dicta fugit optio hic.,C69,2.02
V1284,I32,Quidem sunt nisi vitae sit.,C70,2.57
V1285,I62,Dicta libero sequi dolorem quam est accusantium.,C70,2.33
V1286,I66,Laudantium expedita nobis eum doloremque occaecati ducimus.,C70,3.12
V1287,I37,Distinctio nobis veritatis quod quidem reiciendis ipsam at.,C70,3.32
V1288,I52,Iusto repellendus quas unde.,C70,2.42
V1289,I48,Nemo praesentium omnis ab labore voluptatum voluptatibus.,C70,4.36
V129,I45,Tempore accusantium animi asperiores assumenda.,C2,1.17
V1290,I26,Aperiam repellendus vero molestias.,C70,4.00
V1291,I39,Iusto repellat a beatae.,C70,2.05
V1292,I23,Corrupti harum sed similique.,C70,3.00
V1293,I38,Similique deserunt occaecati harum.,C70,3.00
V1294,I53,Vero laboriosam sunt dolor quidem laudantium.,C70,4.10
V1295,I31,Magnam dolore ratione ab sequi ad.,C70,1.61
V1296,I48,Hic consequatur numquam at ullam nisi itaque facere.,C70,1.10
V1297,I21,Asperiores consequatur a non.,C70,3.97
V1298,I20,Pariatur iusto odio rem nobis fuga id.,C71,3.17
V1299,I24,Laudantium dicta magni fugit exercitationem.,C71,1.40
V13,I27,Voluptatibus vel in temporibus vero harum.,C11,4.00
V130,I65,Debitis necessitatibus consequuntur consectetur incidunt.,C2,3.26
V1300,I27,At quo dolorum provident sint debitis maxime.,C71,2.79
V1301,I20,Ducimus est magni dicta fugit adipisci.,C71,3.36
V1302,I36,Voluptate mollitia nostrum perferendis.,C71,4.64
V1303,I39,Nihil est voluptatum officiis.,C71,2.51
V1304,I51,Cupiditate facere repellendus.,C71,3.66
V1305,I61,Cupiditate repellat eaque nihil inventore.,C71,2.86
V1306,I22,Harum eligendi quae distinctio.,C71,3.53
V1307,I30,Facilis alias assumenda accusantium praesentium natus iure.,C71,3.01
V1308,I55,Debitis occaecati dolorem.,C71,2.66
V1309,I56,Deleniti neque est minus.,C71,4.57
V131,I32,Explicabo esse consectetur aliquid.,C2,1.47
V1310,I67,Autem mollitia amet nulla ratione.,C71,1.19
V1311,I60,Dolorem ipsam soluta vitae ea excepturi in molestias.,C71,1.45
V1312,I32,Pariatur doloremque tempore nihil distinctio tenetur.,C72,1.23
V1313,I20,Illo vitae mollitia consequuntur totam.,C72,1.53
V1314,I68,Culpa officiis optio optio facilis id.,C72,2.18
V1315,I62,Saepe debitis minima nostrum delectus suscipit modi.,C72,2.42
V1316,I32,Quibusdam doloremque blanditiis earum et eveniet dolores.,C72,4.07
V1317,I45,Maiores asperiores sit.,C72,4.58
V1318,I32,Praesentium sint at debitis id autem.,C72,4.32
V1319,I62,Dignissimos non debitis natus suscipit dolorem odio tenetur.,C72,2.75
V132,I40,Officiis dicta sapiente labore.,C2,2.94
V1320,I56,Nobis vel aperiam impedit recusandae.,C72,1.80
V1321,I39,Distinctio quis perferendis a.,C72,4.23
V1322,I28,Ratione nihil alias veniam numquam.,C72,3.35
V1323,I46,Ad sed aspernatur distinctio illo voluptatum.,C72,2.77
V1324,I24,Nobis animi aut laborum vel eaque dolor.,C72,2.69
V1325,I54,At et recusandae nihil.,C72,2.35
V1326,I66,Fugit laboriosam ex doloribus atque aliquam veritatis.,C72,2.65
V1327,I58,Ad quod assumenda in dolorum.,C72,2.03
V1328,I52,Cumque quam quisquam.,C72,1.43
V1329,I56,Exercitationem modi voluptas expedita.,C72,4.45
V133,I22,Dolore voluptatibus id vitae tenetur ad reiciendis qui.,C2,2.78
V1330,I34,Iste debitis excepturi corporis ducimus.,C72,4.58
V1331,I37,Molestias natus quibusdam.,C72,2.30
V1332,I67,Soluta molestiae quia velit perspiciatis.,C73,4.39
V1333,I32,Qui doloribus debitis velit.,C73,3.60
V1334,I24,Harum blanditiis fuga quis.,C73,1.41
V1335,I21,Labore voluptatibus voluptatem nesciunt quisquam.,C73,4.51
V1336,I42,Perferendis beatae et dolore eos veniam ipsum.,C73,4.62
V1337,I52,Assumenda possimus ut assumenda rerum id fugiat.,C73,3.85
V1338,I23,Nobis blanditiis dolores dolore non hic tempora.,C73,3.58
V1339,I56,Aliquid minus rem adipisci.,C73,4.52
V134,I69,Quia eos sed non error.,C3,1.49
V1340,I70,Voluptate minima repudiandae iusto.,C73,4.37
V1341,I28,Dolores ex libero soluta error in.,C73,2.53
V1342,I34,Soluta dicta incidunt.,C73,1.29
V1343,I69,Deleniti commodi minima eum numquam voluptas odit.,C73,1.46
V1344,I28,Nesciunt dolor pariatur aliquam dicta provident.,C73,3.42
V1345,I39,Vitae rem perspiciatis explicabo eaque.,C74,3.23
V1346,I53,Occaecati cupiditate asperiores placeat maxime molestiae minus.,C74,3.72
V1347,I59,Dolor consequuntur unde amet.,C74,2.76
V1348,I49,Iusto corrupti necessitatibus nostrum fugit.,C74,4.27
V1349,I51,Deleniti facere magni dolor non ad similique.,C74,3.68
V135,I64,Voluptate doloremque ipsum autem cupiditate ullam.,C3,2.14
V1350,I59,Consectetur praesentium minima perferendis occaecati consequatur consectetur.,C74,2.46
V1351,I61,Commodi ducimus architecto maxime sed.,C74,1.33
V1352,I65,Aliquam consequuntur ipsa aliquam.,C74,1.65
V1353,I66,Quis omnis quis sapiente explicabo.,C74,2.51
V1354,I26,Nisi harum dignissimos aliquid unde.,C74,3.62
V1355,I30,Nobis eum repellat doloremque.,C74,3.01
V1356,I47,Tempora illo corporis hic aspernatur perspiciatis.,C74,3.67
V1357,I47,Minima beatae libero corrupti quaerat eveniet officia.,C74,4.28
V1358,I70,Minus cum autem iure recusandae mollitia voluptatem.,C74,1.20
V1359,I58,Occaecati voluptate maxime maxime nostrum.,C74,3.00
V136,I35,Tempore fugiat dolore exercitationem omnis sequi ipsa.,C3,4.92
V1360,I41,Non quis consequuntur rem vitae.,C74,3.50
V1361,I40,Sapiente quaerat at ipsum.,C75,4.15
V1362,I33,Beatae magni dicta quaerat explicabo.,C75,4.31
V1363,I54,Eaque cupiditate error officiis odio vitae.,C75,1.54
