ServiceRequestID,Price,Date,Job_Type,Description,CustomerID
R36,850,2020-03-23,Digging,Nihil harum natus eveniet repudiandae reiciendis officia.,C112
R37,1560,2020-01-21,Weeds,Nam odio nostrum impedit amet.,C172
R38,750,2020-04-25,Weeds,Itaque voluptatum earum delectus.,C18
R39,320,2020-04-16,Pest Removal,Ad eveniet maiores aspernatur sit.,C22
R40,460,2020-04-15,Weeds,Ipsa culpa ipsa esse.,C115
R41,960,2020-03-15,Harvesting,Vitae consequuntur nihil error autem impedit natus voluptate.,C25
R42,1530,2020-02-12,Maintenance,Praesentium libero blanditiis vitae aperiam quis atque amet.,C129
R43,1180,2020-02-23,Maintenance,Minus maxime nam.,C70
R44,400,2020-04-28,Weeds,Quae quod quisquam.,C196
R45,420,2020-02-17,Weeds,Dolorum officiis beatae reprehenderit voluptatibus eius voluptatibus pariatur.,C155
R46,1820,2020-02-28,Pest Removal,Earum temporibus in necessitatibus.,C61
R47,250,2020-01-16,Pest Removal,Enim laborum iusto velit.,C107
R48,1550,2020-03-26,Digging,Accusamus voluptatem aspernatur asperiores eos facilis.,C168
R49,540,2020-02-19,Planting,Dolores aspernatur distinctio fugiat iste numquam.,C17
R5,1220,2020-04-25,Pest Removal,Atque omnis tempore mollitia culpa quae similique.,C54
R50,1790,2020-03-20,Pest Removal,At deserunt dignissimos quos officiis harum.,C8
R51,1200,2020-03-28,Weeds,Eligendi mollitia natus quibusdam sed.,C56
R52,1300,2020-02-27,Digging,Earum hic ab numquam.,C6
R53,1390,2020-03-28,Harvesting,Quia voluptate quo animi dolore mollitia fugiat.,C197
R54,1230,2020-03-28,Watering,Quibusdam eos nihil mollitia ipsam doloremque.,C122
R55,1590,2020-03-26,Harvesting,Molestiae libero iure velit.,C195
R56,270,2020-03-23,Maintenance,Similique maiores rerum ad aut.,C199
R57,1750,2020-02-26,Watering,Aut incidunt qui neque.,C113
R58,1340,2020-01-18,Pest Removal,Laborum saepe explicabo quo nostrum adipisci cupiditate.,C196
R59,1160,2020-01-27,Watering,Doloremque ad tenetur sequi ut similique.,C160
R6,1810,2020-03-15,Pest Removal,Voluptas culpa accusantium quasi.,C114
R60,920,2020-04-11,Digging,Esse fuga hic dolorem molestiae iste.,C88
R61,1050,2020-03-20,Pest Removal,Illo minus ea quisquam quod.,C166
R62,1410,2020-04-24,Harvesting,Molestiae nesciunt eius voluptatibus distinctio voluptates voluptates.,C162
R63,920,2020-01-25,Weeds,Eos a quibusdam vitae.,C22
R64,520,2020-02-24,Planting,Ipsam natus odio consectetur aspernatur.,C166
R65,910,2020-03-18,Pest Removal,Delectus maxime sequi praesentium ullam in dolorum.,C34
R66,1640,2020-01-10,Pest Removal,Earum nostrum eum porro non error beatae.,C40
R67,1900,2020-01-25,Maintenance,Eaque eos perspiciatis facere.,C142
R68,110,2020-04-27,Weeds,Accusamus ipsum numquam nemo accusantium amet libero.,C14
R69,1770,2020-01-13,Maintenance,Doloribus error dolorum vel.,C119
R7,1670,2020-02-23,Planting,Praesentium saepe magnam qui saepe fugit ut.,C139
R70,260,2020-03-22,Watering,Deleniti quam praesentium nulla vitae magnam.,C62
R71,350,2020-02-12,Maintenance,Labore vero nobis animi officia possimus.,C43
R72,1650,2020-02-12,Maintenance,At incidunt consequuntur quam eum praesentium.,C13
R73,600,2020-03-21,Weeds,Optio molestias eius officia.,C192
R74,500,2020-04-17,Pest Removal,Doloremque commodi placeat deleniti animi optio.,C144
R75,190,2020-01-18,Maintenance,Doloremque tempore necessitatibus perferendis vel.,C17
R76,1930,2020-02-21,Watering,Totam maxime modi repellendus nihil.,C139
R77,1010,2020-02-25,Weeds,Beatae magnam iste rem ipsum eum.,C94
R78,1320,2020-04-24,Planting,Blanditiis eius maxime reprehenderit.,C66
R79,940,2020-01-18,Harvesting,Voluptate sed similique nesciunt.,C92
R8,450,2020-01-22,Harvesting,Expedita deleniti odit eum dicta dolores.,C154
R80,750,2020-01-21,Pest Removal,Ad nemo fugit.,C12
R81,980,2020-02-17,Maintenance,Corporis pariatur numquam nisi rerum.,C69
R82,1540,2020-01-16,Watering,Incidunt deleniti mollitia minus eaque accusantium.,C144
R83,630,2020-02-19,Weeds,Harum recusandae blanditiis cupiditate odio debitis.,C164
R84,1830,2020-03-20,Planting,Velit veritatis et.,C92
R85,560,2020-02-26,Harvesting,Quis omnis officiis numquam pariatur distinctio quod.,C30
R86,330,2020-02-21,Maintenance,Aliquid aut provident reprehenderit quis et.,C137
R87,1750,2020-01-14,Digging,Aperiam debitis sequi debitis laboriosam ut.,C143
R88,100,2020-03-18,Harvesting,Optio inventore quibusdam delectus illo cumque.,C93
R89,1500,2020-02-22,Pest Removal,Voluptatibus nulla alias aut praesentium maiores maiores.,C140
R9,1760,2020-03-10,Maintenance,Recusandae hic ipsam vitae.,C189
R90,350,2020-02-28,Weeds,Voluptatem laboriosam eveniet voluptates ut placeat.,C165
R91,410,2020-01-10,Weeds,Qui ducimus ad.,C56
R92,520,2020-03-15,Weeds,Dicta molestiae quo dicta labore cupiditate.,C71
R93,1740,2020-01-16,Watering,Maiores aut provident accusantium minima quibusdam cumque facere.,C16
R94,1810,2020-01-17,Pest Removal,Perspiciatis quia officia ipsam vitae minus.,C57
R95,1130,2020-03-24,Weeds,Quibusdam exercitationem facere explicabo.,C20
R96,730,2020-03-26,Watering,Ullam aperiam temporibus cum.,C137
R97,1790,2020-03-20,Harvesting,Libero quibusdam minima maxime placeat tenetur.,C163
R98,880,2020-03-10,Harvesting,Iste tempora exercitationem deserunt rerum saepe.,C79
R99,1030,2020-03-28,Planting,Voluptas temporibus recusandae laudantium distinctio.,C60
